"","x","y","dist","tc","lstmax","ai","dist_tree"
"2721058",-54.7394706585219,-2.41494097829851,28.8865051269531,0.148124992847443,45.84864272,0.948582291603088,2059.71826171875
"2721059",-54.7389316693515,-2.41494097829851,28.8865051269531,0.148124992847443,48.04301156,0.948582291603088,2080.13012695312
"2721060",-54.738392680181,-2.41494097829851,28.8865051269531,0.148124992847443,49.70416928,0.915463924407959,0
"2725325",-54.7394706585219,-2.41547996746898,28.8865051269531,0.148124992847443,47.97123314,0.948582291603088,2024.96350097656
"2725326",-54.7389316693515,-2.41547996746898,28.8865051269531,0.148124992847443,49.4170556,0.948582291603088,2047.40197753906
"2725327",-54.738392680181,-2.41547996746898,28.8865051269531,0.148124992847443,51.1773359,0.915463924407959,2065.20068359375
"2729592",-54.7394706585219,-2.41601895663945,28.8865051269531,0.148124992847443,49.02740132,0.953399777412415,1969.53723144531
"2729593",-54.7389316693515,-2.41601895663945,28.8865051269531,0.148124992847443,49.47857996,0.953399777412415,1993.56628417969
"2729594",-54.738392680181,-2.41601895663945,28.8865051269531,0.148124992847443,51.13290164,0.915856540203094,2015.43212890625
"2733855",-54.7416266152038,-2.41655794580993,107.874000549316,0.484913200139999,45.08984228,0.991634547710419,1824.2548828125
"2733856",-54.7410876260333,-2.41655794580993,107.874000549316,0.484913200139999,45.19921892,0.991634547710419,1849.69360351562
"2733857",-54.7405486368629,-2.41655794580993,107.874000549316,0.484913200139999,46.09815818,0.958039522171021,1869.75390625
"2733858",-54.7400096476924,-2.41655794580993,107.874000549316,0.484913200139999,47.3149733,0.958039522171021,1891.25207519531
"2733859",-54.7394706585219,-2.41655794580993,92.6455535888672,0.228194445371628,49.15728608,0.953399777412415,1914.38684082031
"2733860",-54.7389316693515,-2.41655794580993,92.6455535888672,0.228194445371628,48.71977952,0.953399777412415,1939.09924316406
"2733861",-54.738392680181,-2.41655794580993,92.6455535888672,0.228194445371628,49.95710276,0.915856540203094,1960.201171875
"2733862",-54.7378536910105,-2.41655794580993,74.8671493530273,0.228489577770233,50.77059152,0.915856540203094,1961.04370117188
"2733863",-54.73731470184,-2.41655794580993,74.8671493530273,0.228489577770233,49.93659464,0.94187468290329,1963.60021972656
"2733864",-54.7367757126696,-2.41655794580993,74.8671493530273,0.228489577770233,48.8530823,0.94187468290329,0
"2733865",-54.7362367234991,-2.41655794580993,74.8671493530273,0.228489577770233,48.0840278000001,0.897304952144623,0
"2733907",-54.7135991783393,-2.41655794580993,13.2700538635254,0.105868056416512,46.19386274,0.896174848079681,3213.60546875
"2733908",-54.7130601891688,-2.41655794580993,13.2700538635254,0.105868056416512,47.62601312,0.896174848079681,3254.09521484375
"2733909",-54.7125211999983,-2.41655794580993,13.2700538635254,0.105868056416512,48.28227296,0.996311187744141,3312.63500976562
"2733910",-54.7119822108279,-2.41655794580993,13.2700538635254,0.105868056416512,47.5405626200001,0.996311187744141,3352.43041992188
"2738122",-54.7416266152038,-2.4170969349804,107.874000549316,0.484913200139999,44.65233572,0.991593062877655,1772.79553222656
"2738123",-54.7410876260333,-2.4170969349804,107.874000549316,0.484913200139999,43.60983962,0.991593062877655,1793.12890625
"2738124",-54.7405486368629,-2.4170969349804,107.874000549316,0.484913200139999,45.10693238,0.985212802886963,1813.55432128906
"2738125",-54.7400096476924,-2.4170969349804,107.874000549316,0.484913200139999,46.4604683,0.985212802886963,1835.71081542969
"2738126",-54.7394706585219,-2.4170969349804,92.6455535888672,0.228194445371628,48.05326562,0.962410688400269,1859.53662109375
"2738127",-54.7389316693515,-2.4170969349804,92.6455535888672,0.228194445371628,48.24125672,0.962410688400269,1884.95129394531
"2738128",-54.738392680181,-2.4170969349804,92.6455535888672,0.228194445371628,47.77982402,0.99869704246521,1904.13464355469
"2738129",-54.7378536910105,-2.4170969349804,74.8671493530273,0.228489577770233,48.70952546,0.99869704246521,1905.70727539062
"2738130",-54.73731470184,-2.4170969349804,74.8671493530273,0.228489577770233,48.91118864,0.965090394020081,1905.05895996094
"2738131",-54.7367757126696,-2.4170969349804,74.8671493530273,0.228489577770233,49.4683259,0.965090394020081,1901.65112304688
"2738132",-54.7362367234991,-2.4170969349804,74.8671493530273,0.228489577770233,49.03423736,0.867623627185822,1887.94311523438
"2738174",-54.7135991783393,-2.4170969349804,13.2700538635254,0.105868056416512,47.7012095600001,0.977505087852478,3182.33129882812
"2738175",-54.7130601891688,-2.4170969349804,13.2700538635254,0.105868056416512,49.2974249,0.977505087852478,3226.3486328125
"2738176",-54.7125211999983,-2.4170969349804,13.2700538635254,0.105868056416512,50.02204514,0.922537922859192,3270.87231445312
"2738177",-54.7119822108279,-2.4170969349804,13.2700538635254,0.105868056416512,48.8872625,0.922537922859192,3315.88208007812
"2742389",-54.7416266152038,-2.41763592415087,107.874000549316,0.484913200139999,44.22850124,0.991593062877655,1717.17639160156
"2742390",-54.7410876260333,-2.41763592415087,107.874000549316,0.484913200139999,43.06295642,0.991593062877655,1736.52270507812
"2742391",-54.7405486368629,-2.41763592415087,107.874000549316,0.484913200139999,44.04051014,0.985212802886963,1757.60607910156
